machine_speed,stock_flow,filler_flow,steam_pressure,moisture,ash,caliper,predicted_basis_weight,predicted_deviation_pct,off_spec,change_penalty
842.396,74.045,16.943,4.9,5.949,7.588,92.544,90.78421,9.215789794921875,1,5.000000000000005
842.396,74.045,16.943,5.0,5.949,7.588,92.544,90.78919,9.210807800292969,1,6.000000000000002
842.396,74.045,16.943,5.1,5.949,7.588,92.544,90.93522,9.064781188964844,1,6.999999999999998
852.396,62.045,16.943,4.5,5.949,7.588,92.544,91.7163,8.283699035644531,1,7.999999999999998
852.396,62.045,16.943,4.6,5.949,7.588,92.544,91.69798,8.302017211914062,1,7.000000000000002
852.396,62.045,16.943,4.7,5.949,7.588,92.544,91.18721,8.812789916992188,1,5.9999999999999964
852.396,62.045,16.943,4.8,5.949,7.588,92.544,91.05374,8.946258544921875,1,5.0
852.396,62.045,16.943,4.9,5.949,7.588,92.544,91.24766,8.752342224121094,1,6.000000000000005
852.396,62.045,16.943,5.0,5.949,7.588,92.544,91.21296,8.787040710449219,1,7.000000000000002
852.396,62.045,16.943,5.1,5.949,7.588,92.544,91.31405,8.685951232910156,1,7.999999999999998
852.396,64.045,16.943,4.5,5.949,7.588,92.544,91.69187,8.308128356933594,1,6.999999999999998
852.396,64.045,16.943,4.6,5.949,7.588,92.544,91.67355,8.326446533203125,1,6.000000000000002
852.396,64.045,16.943,4.7,5.949,7.588,92.544,91.16278,8.83721923828125,1,4.9999999999999964
852.396,64.045,16.943,4.8,5.949,7.588,92.544,91.02931,8.970687866210938,1,4.0
852.396,64.045,16.943,4.9,5.949,7.588,92.544,91.22323,8.776771545410156,1,5.000000000000005
852.396,64.045,16.943,5.0,5.949,7.588,92.544,91.18853,8.811470031738281,1,6.000000000000002
852.396,64.045,16.943,5.1,5.949,7.588,92.544,91.299995,8.700004577636719,1,6.999999999999998
852.396,66.045,16.943,4.5,5.949,7.588,92.544,91.67854,8.321456909179688,1,5.999999999999998
852.396,66.045,16.943,4.6,5.949,7.588,92.544,91.660225,8.339775085449219,1,5.000000000000002
852.396,66.045,16.943,4.7,5.949,7.588,92.544,91.14945,8.850547790527344,1,3.9999999999999964
852.396,66.045,16.943,4.8,5.949,7.588,92.544,91.01524,8.984756469726562,1,3.0
852.396,66.045,16.943,4.9,5.949,7.588,92.544,91.203835,8.796165466308594,1,4.000000000000005
852.396,66.045,16.943,5.0,5.949,7.588,92.544,91.17299,8.827011108398438,1,5.000000000000002
852.396,66.045,16.943,5.1,5.949,7.588,92.544,91.284454,8.715545654296875,1,5.999999999999998
852.396,68.045,16.943,4.5,5.949,7.588,92.544,91.52134,8.478660583496094,1,4.999999999999998
